id,link,question,run_dir,status,answer,error
1,https://afiqket.github.io/capstone-charts/?chart=ia_commentary_july_2023,What percentage of applicants received a decision in under 6 months?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_001,ok,59.0%,
2,https://afiqket.github.io/capstone-charts/?chart=ia_commentary_july_2023,Which has a higher share: 1–1.5 years or 1.5–2 years?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_002,ok,1-1.5 years has the higher share: 8.9% versus 5.8% for 1.5-2 years.,
3,https://afiqket.github.io/capstone-charts/?chart=percent_of_dc_workers_who_are_immigrants_by_occupation,Do low-wage jobs tend to have higher immigrant percentages than high-wage jobs?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_003,ok,"Yes. Low-wage jobs tend to have higher immigrant percentages than high-wage jobs in this chart.

The strongest visual pattern is that low-wage jobs dominate the high end: 8 of the top 10 occupations are low-wage, including maids/housekeepers at 78%, taxi drivers at 70%, cooks at 61%, janitors at 58%, childcare workers at 57%, and construction laborers at 54%. High-wage jobs appear more often in the middle and lower parts of the chart, with no high-wage occupations in the top 10 and many near the bottom.

There are exceptions, but overall the trend is clearly higher immigrant percentages in low-wage jobs than in high-wage jobs.",
4,https://afiqket.github.io/capstone-charts/?chart=percent_of_dc_workers_who_are_immigrants_by_occupation,Which occupation has an unexpectedly high immigrant percentage compared to its wage category?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_004,ok,"Carpenters. The chart shows carpenters as a middle-wage occupation, but they have the highest immigrant share overall at about 80%, which is unexpectedly high for that wage category.",
5,https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,How many deaths occurred in the World War II?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_005,ok,"405,399",
6,https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,Which war had more deaths: Korean War or Vietnam War?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_006,ok,"Vietnam War had more deaths: 58,209 vs. Korean War’s 54,246.",
7,https://afiqket.github.io/capstone-charts/?chart=how_many_members_of_the_us_military_have_died_in_each_war,How has the number of deaths changed from early wars to modern wars?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_007,ok,"The chart shows that U.S. military deaths were relatively low in most early wars, around 13,000-25,000, but rose sharply in the American Civil War to about 750,000.

In the modern era, deaths peaked again in the World Wars, especially World War II at about 405,399, then generally declined: Korea and Vietnam were around 54,000-58,000, while the Gulf War and Iraq/Afghanistan were much lower at about 294 and 6,717. Overall, deaths spike in the Civil War and World Wars, but recent wars show far fewer deaths than those major earlier conflicts.",
8,https://afiqket.github.io/capstone-charts/?chart=malaysia_total_trade_with_world,What is Malaysia’s total trade (% of GDP) in 1990?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_008,ok,Malaysia’s total trade in 1990 was **133.3% of GDP**.,
9,https://afiqket.github.io/capstone-charts/?chart=malaysia_total_trade_with_world,Was trade higher in 2000 or 2010?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_009,ok,"Trade was higher in 2000.

The chart data shows 2000 at about 192.1% of GDP, versus 2010 at about 142.1% of GDP.",
10,https://afiqket.github.io/capstone-charts/?chart=traffic_citations,How does the percentage of speeding citations change over time in Q2?,C:\Users\Lenovo\Documents\Code\FYP\capstone-cli\codex_runs\run_010,ok,"For Q2, the speeding citation percentage fluctuates rather than moving steadily.

It starts high at about **37.4% in 2003**, falls to a low of about **25.3% in 2007**, then rises sharply to a peak of about **42.0% in 2009**. After 2010 it drops again to about **31.3% in 2011**, then partially recovers to the mid-30s, ending around **35.6% in 2013**.",
